-2.820375	1226.98614384014
-2.810375	1226.98614384014
-2.800375	1226.98614384014
-2.790375	1226.98614384014
-2.780375	1226.98614384014
-2.770375	1226.98614384014
-2.760375	1226.98614384014
-2.750375	1226.98614384014
-2.740375	1226.98614384014
-2.730375	1226.98614384014
-2.720375	1226.98614384014
-2.710375	1226.98614384014
-2.700375	1226.98614384014
-2.690375	1226.98614384014
-2.680375	1226.98614384014
-2.670375	1226.98614384014
-2.66025	1226.98614384014
-2.65025	1226.98614384014
-2.64025	1226.98614384014
-2.63025	1226.98614384014
-2.62025	1226.98614384014
-2.61025	1226.98614384014
-2.60025	1226.98614384014
-2.59025	1226.98614384014
-2.58025	1226.98614384014
-2.57025	1226.98614384014
-2.56025	1226.98614384014
-2.550375	1226.98614384014
-2.540375	1226.98614384014
-2.530375	1226.98614384014
-2.520375	1226.98614384014
-2.510375	1226.98614384014
-2.500375	1226.98614384014
-2.490375	1226.98614384014
-2.480375	1226.98614384014
-2.470375	1226.98614384014
-2.460375	1226.98614384014
-2.450375	1226.98614384014
-2.440375	1226.98614384014
-2.430375	1226.98614384014
-2.420375	1226.98614384014
-2.410375	1226.98614384014
-2.400375	1226.98614384014
-2.390375	1226.98614384014
-2.3805	1226.98614384014
-2.3705	1226.98614384014
-2.3605	1226.98614384014
-2.350375	1226.98614384014
-2.340375	1226.98614384014
-2.330375	1226.98614384014
-2.320375	1226.98614384014
-2.310375	1226.98614384014
-2.300375	1226.98614384014
-2.290375	1226.98614384014
-2.280375	1226.98614384014
-2.270375	1226.98614384014
-2.260375	1226.98614384014
-2.250375	1226.98614384014
-2.240375	1226.98614384014
-2.230375	1226.98614384014
-2.220375	1226.98614384014
-2.210375	1226.98614384014
-2.200375	1226.98614384014
-2.190375	1226.98614384014
-2.180375	1226.98614384014
-2.170375	1226.98614384014
-2.16025	1226.98614384014
-2.15025	1226.98614384014
-2.14025	1226.98614384014
-2.13025	1226.98614384014
-2.12025	1226.98614384014
-2.11025	1226.98614384014
-2.10025	1226.98614384014
-2.09025	1226.98614384014
-2.08025	1226.98614384014
-2.07025	1226.98614384014
-2.06025	1226.98614384014
-2.05025	1226.98614384014
-2.040375	1226.98614384014
-2.030375	1226.98614384014
-2.020375	1226.98614384014
-2.010375	1226.98614384014
-2.000375	1226.98614384014
-1.990375	1226.98614384014
-1.980375	1226.98614384014
-1.970375	1226.98614384014
-1.960375	1226.98614384014
-1.950375	1226.98614384014
-1.940375	1226.98614384014
-1.930375	1226.98614384014
-1.920375	1226.98614384014
-1.910375	1226.98614384014
-1.900375	1226.98614384014
-1.890375	1226.98614384014
-1.8805	1226.98614384014
-1.8705	1226.98614384014
-1.8605	1226.98614384014
-1.850375	1226.98614384014
-1.840375	1226.98614384014
-1.830375	1226.98614384014
-1.820375	1226.98614384014
-1.810375	1226.98614384014
-1.800375	1226.98614384014
-1.790375	1226.98614384014
-1.780375	1226.98614384014
-1.770375	1226.98614384014
-1.760375	1226.98614384014
-1.750375	1226.98614384014
-1.740375	1226.98614384014
-1.730375	1226.98614384014
-1.720375	1226.98614384014
-1.710375	1226.98614384014
-1.700375	1226.98614384014
-1.690375	1226.98614384014
-1.680375	1226.98614384014
-1.670375	1226.98614384014
-1.66025	1226.98614384014
-1.65025	1226.98614384014
-1.64025	1226.98614384014
-1.63025	1226.98614384014
-1.62025	1226.98614384014
-1.61025	1226.98614384014
-1.60025	1226.98614384014
-1.59025	1226.98614384014
-1.58025	1226.98614384014
-1.57025	1226.98614384014
-1.56025	1226.98614384014
-1.55025	1226.98614384014
-1.540375	1226.98614384014
-1.530375	1226.98614384014
-1.520375	1226.98614384014
-1.510375	1226.98614384014
-1.500375	1226.98614384014
-1.490375	1226.98614384014
-1.480375	1226.98614384014
-1.470375	1226.98614384014
-1.460375	1226.98614384014
-1.450375	1226.98614384014
-1.440375	1226.98614384014
-1.430375	1226.98614384014
-1.420375	1226.98614384014
-1.410375	1226.98614384014
-1.400375	1226.98614384014
-1.390375	1226.98614384014
-1.3805	1226.98614384014
-1.3705	1226.98614384014
-1.3605	1226.98614384014
-1.350375	1226.98614384014
-1.340375	1226.98614384014
-1.330375	1226.98614384014
-1.320375	1226.98614384014
-1.310375	1226.98614384014
-1.300375	1226.98614384014
-1.290375	1226.98614384014
-1.280375	1226.98614384014
-1.270375	1226.98614384014
-1.260375	1226.98614384014
-1.250375	1226.98614384014
-1.240375	1226.98614384014
-1.230375	1226.98614384014
-1.220375	1226.98614384014
-1.210375	1226.98614384014
-1.200375	1226.98614384014
-1.190375	1226.98614384014
-1.180375	1226.98614384014
-1.170375	1226.98614384014
-1.16025	1226.98614384014
-1.15025	1226.98614384014
-1.14025	1226.98614384014
-1.13025	1226.98614384014
-1.12025	1226.98614384014
-1.11025	1226.98614384014
-1.10025	1226.98614384014
-1.09025	1226.98614384014
-1.08025	1226.98614384014
-1.07025	1226.98614384014
-1.06025	1226.98614384014
-1.05025	1226.98614384014
-1.040375	1226.98614384014
-1.030375	1226.98614384014
-1.020375	1226.98614384014
-1.010375	1226.98614384014
-1.000375	1226.98614384014
-0.990375	1226.98614384014
-0.980375	1226.98614384014
-0.970375	1226.98614384014
-0.960375	1226.98614384014
-0.950375	1226.98614384014
-0.940375	1226.98614384014
-0.930375	1226.98614384014
-0.920375	1226.98614384014
-0.910375	1226.98614384014
-0.900375	1226.98614384014
-0.890375	1226.98614384014
-0.8805	1223.89141295127
-0.8705	1220.62022810821
-0.860375	1216.09011216891
-0.850375	1214.57668017721
-0.840375	1209.75473654444
-0.830375	1206.12046375719
-0.820375	1203.64671505326
-0.810375	1202.00772928646
-0.800375	1201.3392402677
-0.790375	1193.43613912716
-0.780375	1189.36073145443
-0.770375	1183.38505042888
-0.760375	1180.7178810444
-0.750375	1174.83042699595
-0.740375	1170.08653030446
-0.730375	1167.80280893581
-0.720375	1164.99651239514
-0.710375	1162.16646243755
-0.700375	1156.73371665567
-0.690375	1154.09369403337
-0.680375	1149.83165237063
-0.670375	1148.8340088604
-0.66025	1144.18173249128
-0.65025	1141.19898199642
-0.64025	1137.79885003299
-0.63025	1132.39325101329
-0.62025	1129.27816005279
-0.61025	1127.11320576869
-0.60025	1123.29908568197
-0.59025	1120.08219436328
-0.58025	1116.29182769347
-0.57025	1111.93816570836
-0.56025	1109.34564991988
-0.55025	1103.69573004053
-0.540375	1099.12150061269
-0.530375	1093.77019511735
-0.520375	1087.97436139127
-0.510375	1086.63399000848
-0.500375	1082.89791686304
-0.490375	1079.5622584598
-0.480375	1075.06607597323
-0.470375	1073.67480441135
-0.460375	1068.9512677915
-0.450375	1065.93119049863
-0.440375	1063.3827881987
-0.430375	1059.23272692997
-0.420375	1053.64049392026
-0.410375	1051.40427938543
-0.400375	1045.6389857668
-0.390375	1043.87783957018
-0.3805	1043.52832500707
-0.3705	1037.3185031577
